"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4QC1Kd4dctVuVA5I6HFuoj","Turbo Lover - Remastered","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:6fJqp1I3UMz2DzCGSJpmrS","Turbo 30 (Remastered 30th Anniversary Deluxe Edition)","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","2017-02-03","https://i.scdn.co/image/ab67616d0000b273f58b75e452195e7b01435d58","1","1","334000","https://p.scdn.co/mp3-preview/3b530bcb865ed2bf11cc39704b08f19c1146469c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBARL1601446","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:57bgtoPSgt236HzfBOd8kj","Thunderstruck","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:4vu7F6h90Br1ZtYYaqfITy","The Razors Edge","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1990-09-24","https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508","1","1","292880","https://p.scdn.co/mp3-preview/01b367e5b8032faf123793fe7c1c5e7daf4cc7ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","AUAP09000014","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:4GvPlSOKfN7aXEuGW8zKUx","GOSSIP (feat. Tom Morello)","spotify:artist:0lAWpj5szCSwM4rUMHYmrr, spotify:artist:74NBPbyyftqJ4SpDZ4c1Ed","Måneskin, Tom Morello","spotify:album:6kHJE5xnpA6zncKOD70bS8","GOSSIP (feat. Tom Morello)","spotify:artist:0lAWpj5szCSwM4rUMHYmrr, spotify:artist:74NBPbyyftqJ4SpDZ4c1Ed","Måneskin, Tom Morello","2023-01-13","https://i.scdn.co/image/ab67616d0000b273e5c4776d41fd00198193ae53","1","1","168280","https://p.scdn.co/mp3-preview/7df9d49a6c1eea355e7c11bc11576da43eda3015?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","ITB002200841","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:0xeWb2rWdnrXTajlFXfVTO","Rock You Like a Hurricane - 2011","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:7DHKPiH9WPxdZ6IdmJpk9O","Let There Be Rock","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-12-01","https://i.scdn.co/image/ab67616d0000b2737536bf7f9e596e5df9fecb4f","1","10","255813","https://p.scdn.co/mp3-preview/cfb020619eb7b0d94f19951e6456adce9cfd590b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","DEE861101522","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:2lcfGO79t1PqcXc2Mbxyd5","One of Those Days (feat. Eric Clapton)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY, spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Ozzy Osbourne, Eric Clapton","spotify:album:4u1LXToDGOdhDDf4c9zeqb","Patient Number 9","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","2022-09-09","https://i.scdn.co/image/ab67616d0000b273b2396840a8fba4ef2785c09d","1","5","280206","https://p.scdn.co/mp3-preview/3c230af26bc2d56c4c2987e22ac6c21ca7ff2366?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM12204071","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:7LRMbd3LEoV5wZJvXT1Lwb","T.N.T.","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:19AUoKWRAaQYrggVvdQnqq","High Voltage","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1976-05-14","https://i.scdn.co/image/ab67616d0000b273286a0837ff3424065a735e0a","1","5","214666","https://p.scdn.co/mp3-preview/724a59c766540784b7e4f3c42384077dc6b940f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","AUAP07600012","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:1Ame8XTX6QHY0l0ahqUhgv","THE LONELIEST","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:1DFNeS38zvoPkx9wwMEwbc","THE LONELIEST","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2022-10-07","https://i.scdn.co/image/ab67616d0000b27309f2f176083d10c8c3c822da","1","1","247067","https://p.scdn.co/mp3-preview/fb0c9f44809c1f6265925a353b36891a9f9d779a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","ITB002200745","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:6pLzzki6vNk6EZO0cSVpPl","Degradation Rules (feat. Tony Iommi)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY, spotify:artist:7iA7uWUkWLpapsaaqmzRQV","Ozzy Osbourne, Tony Iommi","spotify:album:4u1LXToDGOdhDDf4c9zeqb","Patient Number 9","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","2022-09-09","https://i.scdn.co/image/ab67616d0000b273b2396840a8fba4ef2785c09d","1","10","250274","https://p.scdn.co/mp3-preview/616d888771743251134865d5b51458ae2c220141?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USSM12204076","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:7u5dBtASrtOuBTTZjJrvuJ","My Hero","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","5","258973","https://p.scdn.co/mp3-preview/f5b184f2931581b12a754d34eecbf917babde50e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USRW29600007","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:0NdXIfsa0zFZDcCVpUfHQi","Do I Love You (Indeed I Do)","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","spotify:album:4XJaXh57G3rZtAzqeVZSfn","Only the Strong Survive","spotify:artist:3eqjTLE0HfPfh78zjh6TqT","Bruce Springsteen","2022-11-11","https://i.scdn.co/image/ab67616d0000b273ae2d2ad6f7f39c99faea92fd","1","4","147040","https://p.scdn.co/mp3-preview/fc3400e4db299103b88700b81aed44f68a0128d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM12208018","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:5kUdKwPCyamXAKGgF1WnCk","Crazy Train","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:5k1h73bDwVffYMNx4yj22s","Memoirs of a Madman","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","2014","https://i.scdn.co/image/ab67616d0000b273e5fb6795dd2c4a654783ac8f","1","1","291000","https://p.scdn.co/mp3-preview/f6f85a18aa8e7dc58000c036482d064186f62d1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USSM11002845","spotify:user:legacysweden","2023-01-13T03:01:54Z"
"spotify:track:7bxon8K9DP6stYx5ZO9WlK","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6iOP7HgYAk3x5i19Os1d7v","The White Stripes Greatest Hits","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2020-12-04","https://i.scdn.co/image/ab67616d0000b2738ca14aa8a50549ed686cd87b","1","26","231746","https://p.scdn.co/mp3-preview/3fe9af31603ecc7a07b5f17777a6691b3c2ed1f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USVT10300001","spotify:user:legacysweden","2023-01-13T03:01:54Z"
